date,aaba,aal,aapl,adbe,akam,alxn,amat,amzn,atvi,avgo,bidu,cmcsa,csco,ctxs,ea,fb,fox,goog,intc,khc,mar,msft,nflx,pypl,trip,tsla,wba,nasdaq
2018-01-02,73.129997,52.990002,172.259995,177.699997,65.559998,124.050003,53.040001,1189.01001,64.309998,267.01001,242.399994,41.07,38.860001,88.690002,109.449997,181.419998,35.360001,1065,46.849998,77.019997,133.75,85.949997,201.070007,73.839996,34.77,320.529999,74.949997,7006.899902
2018-01-03,73.779999,52.34,172.229996,181.039993,65.940002,124.949997,53.98,1204.199951,65.309998,269.929993,245.550003,40.41,39.169998,89.650002,109.75,184.669998,35.93,1082.47998,45.259998,77.010002,136.449997,86.349998,205.050003,76.75,34.970001,317.25,75.510002,7065.529785
2018-01-04,74.57,52.669998,173.029999,183.220001,65.599998,122.690002,54.290001,1209.589966,64.660004,270.019989,245.729996,40.669998,38.990002,90.699997,107.190002,184.330002,36.169998,1086.400024,44.43,77.910004,135.699997,87.110001,205.630005,76.730003,34.919998,314.619995,71.599998,7077.910156
2018-01-05,76.489998,52.650002,175,185.339996,65.830002,122.800003,54.599998,1229.140015,66.370003,271.619995,245.139999,41.040001,39.529999,91.480003,112.389999,186.850006,36.349998,1102.22998,44.740002,77.839996,134.399994,88.190002,209.990005,78.699997,34.73,316.579987,72.919998,7136.560059
2018-01-08,76.480003,52.130001,174.350006,185.039993,65.879997,119.699997,55.919998,1246.869995,66.629997,272.269989,250.820007,40.48,39.939999,90.970001,113.220001,188.279999,35.849998,1106.939941,44.740002,78.480003,136.339996,88.279999,212.050003,79.050003,34.669998,336.410004,73.849998,7157.390137
2018-01-09,76.589996,52.080002,174.330002,186.699997,67.489998,121.800003,54.860001,1252.699951,66.190002,268.5,254.729996,40.610001,39.689999,91.190002,112.18,187.869995,36.18,1106.26001,43.619999,78.620003,137.710007,88.220001,209.309998,79.190002,34.59,333.690002,73.419998,7163.580078
2018-01-10,76.510002,53.779999,174.289993,187.110001,66.330002,121.459999,53.299999,1254.329956,66.830002,262.829987,248.949997,41.09,39.91,90.82,112.25,187.839996,35.32,1102.609985,42.5,77.889999,137.699997,87.82,212.520004,79.370003,34.490002,334.799988,74.080002,7153.569824
2018-01-11,76.139999,56.419998,175.279999,188.919998,65.209999,122.480003,53.200001,1276.680054,69.239998,263.5,250.220001,42.599998,40.099998,89.809998,112,187.770004,35.799999,1105.52002,43.41,77.129997,139.429993,88.080002,217.240005,79.75,35.279999,337.950012,75.379997,7211.779785
2018-01-12,75.849998,58.470001,177.089996,195.050003,65.519997,122.709999,53.450001,1305.199951,70.360001,264.290009,253.039993,42.439999,40.869999,90.040001,113.129997,179.369995,36.369999,1122.26001,43.240002,77.349998,139.779999,89.599998,221.229996,80.540001,36.540001,336.220001,76.07,7261.060059
2018-01-16,73.919998,57.98,176.190002,192.460007,64.5,124.480003,54.5,1304.859985,68.709999,263.25,257.779999,41.82,40.540001,89.959999,111.919998,178.389999,35.790001,1121.76001,43.139999,78.639999,139.119995,88.349998,221.529999,80.419998,35.889999,340.059998,76.029999,7223.689941
2018-01-17,74.139999,58.16,179.100006,196.490005,65.400002,122.120003,57.34,1295,70.360001,265.809998,255.490005,41.68,41.200001,91.190002,113.139999,177.600006,36.490002,1131.97998,44.389999,80.07,142,90.139999,217.5,82.470001,35.900002,347.160004,75.779999,7298.279785
2018-01-18,74.230003,58.34,179.259995,196.199997,65.080002,120.349998,57.400002,1293.319946,69.800003,269.799988,254.960007,41.849998,41.299999,91.379997,115.279999,179.800003,35.73,1129.790039,44.48,79.269997,141.130005,90.099998,220.330002,82.940002,35.619999,344.570007,76,7296.049805
2018-01-19,74.360001,58.060001,178.460007,195.729996,65.629997,121.050003,57.400002,1294.579956,70.57,266.390015,255.979996,42.5,41.290001,92.720001,116.18,181.289993,36.259998,1137.51001,44.82,79.660004,144.070007,90,220.460007,83.839996,35.450001,350.019989,76.470001,7336.379883
2018-01-22,74.160004,58.099998,177,197.839996,65.650002,123.669998,57.459999,1327.310059,71.300003,262.109985,254.339996,42.889999,41.66,93.839996,117.989998,185.369995,36.959999,1155.810059,45.75,80.169998,143.809998,91.610001,227.580002,83.980003,37.200001,351.559998,77.400002,7408.029785
2018-01-23,76.57,58.290001,177.039993,200.089996,66,125.589996,57.790001,1362.540039,71.550003,262.899994,257.350006,42.439999,42.099998,94.010002,117.669998,189.350006,37.189999,1169.969971,46.060001,80.269997,145.800003,91.900002,250.289993,84.209999,36.299999,352.790009,77.019997,7460.290039
2018-01-24,77.809998,54.790001,174.220001,197.779999,66.019997,125.010002,56.880001,1357.51001,70.080002,256.859985,257.959991,42.990002,42.169998,93.779999,114.660004,186.550003,37.490002,1164.23999,45.509998,79.860001,144.389999,91.82,261.299988,83.709999,36.310001,345.890015,77.330002,7415.060059
2018-01-25,78.580002,53.049999,171.110001,197.509995,66.870003,124.949997,55.759998,1377.949951,70.82,247.289993,254.139999,42.139999,41.900002,94,114.5,187.479996,37.73,1170.369995,45.299999,79.669998,145.5,92.330002,269.700012,84.339996,36.490002,337.640015,78.269997,7411.160156
2018-01-26,80.300003,53.07,171.509995,201.300003,67.620003,128.089996,57.119999,1402.050049,72.519997,250.789993,260.25,42.799999,42.560001,94.699997,115.199997,190,38.32,1175.839966,50.080002,79.389999,147.139999,94.059998,274.600006,85.449997,36.779999,342.850006,79.150002,7505.77002
2018-01-29,79.339996,52.68,167.960007,198.229996,67.25,126.790001,55.330002,1417.680054,72.449997,245.470001,253.729996,41.98,42.849998,93.68,117.650002,185.979996,38.139999,1175.579956,49.98,78.419998,147.990005,93.919998,284.589996,84.309998,36.330002,349.529999,80.269997,7466.509766
2018-01-30,78.269997,52.59,166.970001,196.899994,66.559998,122.360001,53.380001,1437.819946,71.610001,240.979996,244.070007,42.34,42.25,92.690002,118.699997,187.119995,37.880001,1163.689941,48.790001,78.5,147.270004,92.739998,278.799988,83.779999,34.900002,345.820007,76.129997,7402.47998
2018-01-31,79.879997,54.32,167.429993,199.759995,66.989998,119.32,53.630001,1450.890015,74.129997,248.029999,246.919998,42.529999,41.540001,92.760002,126.959999,186.889999,36.490002,1169.939941,48.139999,78.389999,147.339996,95.010002,270.299988,85.32,34.669998,354.309998,75.260002,7411.47998
2018-02-01,76.010002,53.880001,167.779999,199.380005,67.559998,118.089996,53.279999,1390,73.349998,238.789993,240.529999,41.889999,41.700001,93.43,128.179993,193.089996,36.709999,1167.699951,47.650002,78.57,147.520004,94.260002,265.070007,78.400002,34.619999,349.25,76.059998,7385.859863
2018-02-02,74.400002,52.099998,160.5,195.639999,65.720001,116.150002,50.68,1429.949951,71.419998,235.479996,233.169998,41.110001,40.93,92.190002,124.529999,190.279999,36.220001,1111.900024,46.150002,77.190002,141.169998,91.779999,267.429993,76.57,34.349998,343.75,73.559998,7240.950195
2018-02-05,72.510002,49.759998,156.490005,190.270004,62.810001,112.720001,48.310001,1390,67.980003,228.100006,225.320007,39.200001,38.779999,89.07,121.639999,181.259995,35.560001,1055.800049,44.52,74.260002,136.339996,88,254.259995,74.705002,35.619999,333.130005,70.43,6967.529785
2018-02-06,73.529999,51.18,163.029999,194.470001,63.669998,114.910004,50.25,1442.839966,69.699997,240.380005,228.770004,39.669998,40.169998,89.120003,123.129997,185.309998,36.419998,1080.599976,44.91,74.309998,140.029999,91.330002,265.720001,75.68,40.84,333.970001,71.790001,7115.879883
2018-02-07,72.160004,51.400002,159.539993,192.339996,64.480003,117.150002,48.689999,1416.780029,69.459999,237.380005,222.5,40.150002,40.34,87.599998,123.050003,180.179993,35.700001,1048.579956,45.200001,73.550003,139.639999,89.610001,264.559998,75.589996,41.049999,345,71.529999,7051.97998
2018-02-08,69.150002,48.599998,155.149994,185.160004,62.490002,108.470001,45.75,1350.5,65.830002,229.570007,212.070007,38.189999,38.77,84.529999,116.540001,171.580002,34.09,1001.52002,42.75,71.580002,133.880005,85.010002,250.100006,72.32,40.049999,315.230011,68.220001,6777.160156
2018-02-09,70.480003,48.360001,156.410004,187.990005,64.129997,108.599998,48.080002,1339.599976,67.080002,235.5,215.669998,38.57,39.529999,85.75,120.639999,176.110001,35.189999,1037.780029,43.950001,71.379997,136.289993,88.18,249.470001,74.75,38.310001,310.420013,68.459999,6874.490234
2018-02-12,71.099998,50.09,162.710007,192.149994,64.93,115.43,49.5,1386.22998,68.32,244.399994,221.639999,38.540001,40.599998,86.790001,122.220001,176.410004,35.950001,1051.939941,44.830002,71.809998,139.100006,89.129997,257.950012,75.279999,37.709999,315.730011,68.459999,6981.959961
2018-02-13,71.309998,50.869999,164.339996,193.479996,64.489998,113.970001,49.549999,1414.51001,68.029999,245.860001,225.600006,38.959999,41.23,86.870003,122.279999,173.149994,36.189999,1052.099976,44.459999,71.709999,140.610001,89.830002,258.269989,74.970001,39.880001,323.660004,68.290001,7013.509766
2018-02-14,73.660004,51.07,167.369995,197.130005,66.870003,123.199997,51.959999,1451.050049,69.650002,247.660004,235.889999,39.43,42.09,89.440002,123.769997,179.520004,36.18,1069.699951,45.380001,71.919998,145.240005,90.809998,266,77.269997,40.720001,322.309998,68.489998,7143.620117
2018-02-15,74.400002,51.669998,172.990005,202.970001,67.400002,122.709999,53.990002,1461.76001,71.989998,251.830002,248.199997,40.080002,44.080002,90.989998,126.480003,179.960007,36.650002,1089.52002,45.919998,72.709999,141.289993,92.660004,280.269989,78.294998,42.400002,334.070007,69.779999,7256.430176
2018-02-16,73.510002,51.580002,172.429993,201.559998,66.889999,120.470001,55.029999,1448.689941,70.190002,248.889999,244.720001,39.790001,44.330002,91.209999,126.019997,177.360001,37.040001,1094.800049,45.560001,70.800003,138.5,92,278.519989,78.370003,43.32,335.48999,70.919998,7239.470215
2018-02-20,74.589996,51.720001,171.850006,202.979996,66.769997,118.849998,56.66,1468.349976,70.839996,249.619995,245.429993,39.470001,44.060001,91.779999,126.339996,176.009995,36.610001,1102.459961,46.32,68.690002,140.440002,92.720001,278.549988,77.059998,42.650002,334.769989,70.910004,7234.310059
2018-02-21,75.110001,52.779999,171.070007,202.089996,66.32,117.099998,56.130001,1482.920044,70.220001,248.619995,246.919998,39.009998,43.310001,91.379997,124.900002,177.910004,36.560001,1111.339966,45.939999,67.470001,141.960007,91.489998,281.040009,76.510002,42.369999,333.299988,69.629997,7218.22998
2018-02-22,75.519997,52.98,172.5,202.610001,66.25,114.589996,56.07,1485.339966,69.489998,249.350006,249.350006,38.799999,42.939999,91.610001,124.610001,178.990005,36.73,1106.630005,45.799999,67.639999,140.600006,91.730003,278.140015,77.699997,41.650002,346.170013,69.669998,7210.089844
2018-02-23,77.760002,53.389999,175.5,209.740005,67.360001,118.93,57.009998,1500,72.07,253.710007,250.740005,39.5,44,92.809998,127.099998,183.289993,37.619999,1126.790039,47.73,69.019997,142.169998,94.059998,285.929993,79.690002,42.299999,352.049988,70.360001,7337.390137
2018-02-26,78.080002,55,178.970001,212.149994,68.599998,121.330002,58.810001,1521.949951,73.160004,252.949997,256.25,39.580002,45.360001,92.949997,128.570007,184.929993,38.400002,1143.75,49.110001,69.739998,141.350006,95.419998,294.160004,79.349998,41.450001,357.420013,70.599998,7421.459961
2018-02-27,76.129997,54.259998,178.389999,208.820007,68.239998,118.339996,57.639999,1511.97998,72.610001,251.809998,250.460007,36.66,45.040001,92.370003,125.800003,181.460007,37.139999,1118.290039,49.91,67.870003,138.119995,94.199997,290.609985,79.459999,39.73,350.98999,69.139999,7330.350098
2018-02-28,74.849998,54.25,178.119995,209.130005,67.459999,117.449997,57.59,1512.449951,73.129997,246.460007,252.339996,36.209999,44.779999,92,123.699997,178.320007,36.419998,1104.72998,49.290001,67.050003,141.210007,93.769997,291.380005,79.410004,40.080002,343.059998,68.889999,7273.009766
2018-03-01,73.739998,53.48,175,206.029999,67.919998,115.110001,57.07,1493.449951,72.010002,243.309998,249.75,36.540001,43.799999,90.809998,122.169998,175.940002,35.529999,1069.52002,47.84,66.889999,137.539993,92.849998,290.390015,78.639999,39.759998,330.929993,70.199997,7180.560059
2018-03-02,72.690002,53.18,176.210007,209.789993,69.43,117.919998,58.029999,1500.25,74.010002,250.869995,250.600006,36.490002,44.060001,91.980003,125.089996,176.619995,35.93,1078.920044,48.98,67.169998,139.580002,93.050003,301.049988,78.870003,39.689999,335.119995,70.580002,7257.870117
2018-03-05,73.440002,53.189999,176.820007,211.160004,69.809998,119.5,57.630001,1523.609985,75.099998,246.979996,254.889999,36.779999,44.52,92.709999,126.099998,180.399994,36.150002,1090.930054,49.75,67.43,135.729996,93.639999,315,79.07,41.970001,333.350006,70.550003,7330.709961
2018-03-06,75.169998,53.57,176.669998,212.009995,69.940002,118.129997,59.990002,1537.640015,73.919998,250.960007,258.730011,36.869999,44.290001,93.639999,124.550003,179.779999,37.02,1095.060059,50.709999,67.769997,137.610001,93.32,325.220001,79.230003,42.380001,328.200012,69.790001,7372.009766
2018-03-07,75.980003,54.110001,175.029999,216.860001,69.989998,118.379997,59.419998,1545,74.07,247.050003,257.26001,36.119999,44.200001,94.360001,127.169998,183.710007,36.509998,1109.640015,51.32,67.459999,138.979996,93.860001,321.160004,79.519997,42.580002,332.299988,69.5,7396.649902
2018-03-08,75.730003,54.790001,176.940002,216.399994,75.080002,120.010002,59.369999,1551.859985,76.809998,246.949997,257.140015,36.880001,44.34,94.57,128.820007,182.339996,36.790001,1126,50.740002,66.989998,139.350006,94.43,317,79.870003,42.450001,329.100006,68.970001,7427.950195
2018-03-09,76.620003,56.07,179.979996,221.110001,76.07,125.68,61.610001,1578.890015,78.220001,253.779999,263.559998,37.130001,45.369999,95.510002,128.490005,185.229996,37.209999,1160.040039,52.189999,67.230003,143.289993,96.540001,331.440002,80.709999,43.029999,327.170013,70.599998,7560.810059
2018-03-12,77.559998,56.5,181.720001,220.940002,74.970001,127.080002,60.970001,1598.390015,76.860001,262.839996,265.670013,36.959999,45.549999,95.879997,128.119995,184.759995,37.5,1164.5,51.52,67.699997,141.809998,96.769997,321.299988,80.599998,43.169998,345.51001,70.150002,7588.319824
2018-03-13,75.970001,56.23,179.970001,219.759995,73.300003,121.080002,59.689999,1588.180054,75.93,261.220001,258.350006,36.43,45.16,95.599998,126.57,181.880005,36.849998,1138.170044,51.779999,67.370003,141.75,94.410004,315.880005,80.199997,42.279999,341.839996,69.860001,7511.009766
2018-03-14,77.199997,55.279999,178.440002,218.440002,73.25,122.68,60.23,1591,74.220001,260.589996,259.350006,36.02,45.279999,95.260002,127.970001,184.190002,37.23,1149.48999,51.860001,66.580002,141.429993,93.849998,321.549988,83.309998,44.049999,326.630005,68.550003,7496.810059
2018-03-15,79.419998,55.169998,178.649994,218.869995,74.709999,126.830002,60.279999,1582.319946,73.379997,267.76001,262.709991,36.150002,45.330002,95.480003,129.119995,183.860001,36.700001,1149.579956,50.880001,65.459999,141.729996,94.18,321.089996,82.57,43.740002,325.600006,67.379997,7481.740234
2018-03-16,79.900002,55.400002,178.020004,225.550003,74.019997,126.75,59.439999,1571.680054,71.68,254.869995,262.390015,35.830002,45.009998,95.129997,128.520004,185.089996,36.619999,1135.72998,51.169998,65.360001,141.059998,94.599998,318.450012,82.160004,43.77,321.350006,67.57,7481.990234
2018-03-19,77.839996,54.619999,175.300003,222.179993,72.489998,122.029999,58.5,1544.930054,71.050003,244.949997,252.830002,35.299999,44.27,94.529999,125.440002,172.559998,36.25,1099.819946,50.830002,63.950001,139.820007,92.889999,313.480011,80.300003,42.720001,313.559998,66.620003,7344.240234
2018-03-20,79.07,55.32,175.240005,229.75,73.68,120.220001,59.23,1586.51001,71.370003,242.360001,254.460007,34.57,44.369999,94.550003,126.849998,168.149994,36.18,1097.709961,51.549999,63.18,140.550003,93.129997,317.5,80.860001,41.779999,310.549988,66.050003,7364.299805
2018-03-21,78.07,54.09,171.270004,226.850006,73.389999,117.889999,60.779999,1581.859985,71.610001,246,250.050003,34.490002,44.310001,94.449997,126,169.389999,36.299999,1090.880005,51.560001,61.990002,140.419998,92.480003,316.480011,81.040001,41.59,316.529999,66.269997,7345.290039
2018-03-22,74.57,52.310001,168.850006,220.520004,71.650002,114.230003,58.959999,1544.920044,69.760002,243.570007,236.110001,33.23,43.07,93.32,122.980003,164.889999,36.18,1049.079956,50.830002,60.529999,137.25,89.790001,306.700012,78.559998,40.110001,309.100006,65.830002,7166.680176
2018-03-23,73,51.009998,164.940002,215.020004,70.190002,110.790001,55.380001,1495.560059,68.040001,242.479996,230.080002,33.169998,42.419998,91.599998,121.440002,159.389999,35.450001,1021.570007,49.360001,60.029999,133.759995,87.18,300.940002,76.440002,40.040001,301.540009,65.43,6992.669922
2018-03-26,75.809998,51.860001,172.770004,228.910004,72.18,111.550003,58.470001,1555.859985,70.080002,247.729996,235.940002,33.540001,44.060001,93.790001,126.440002,160.059998,36.580002,1053.209961,52.48,61.650002,138.919998,93.779999,320.350006,78.949997,41.939999,304.179993,67.470001,7220.540039
2018-03-27,73.029999,50.900002,168.339996,213.800003,70.75,108.330002,55.439999,1497.050049,66.290001,244.369995,230.960007,32.990002,42.68,92.459999,119.980003,152.220001,36.080002,1005.099976,51.189999,60.700001,135.589996,89.470001,300.690002,76.309998,40.330002,279.179993,65.959999,7008.810059
2018-03-28,72.639999,50.849998,166.479996,212.539993,70.050003,110.610001,54.060001,1431.420044,65.970001,236.679993,223.100006,33.279999,41.66,91.699997,119.330002,153.029999,35.5,1004.559998,49.599998,61.369999,133.899994,89.389999,285.769989,75.059998,40.610001,257.779999,67.589996,6949.22998
2018-03-29,74.040001,51.959999,167.779999,216.080002,70.980003,111.459999,55.610001,1447.339966,67.459999,235.649994,223.190002,34.169998,42.889999,92.800003,121.239998,159.789993,36.369999,1031.790039,52.080002,62.290001,135.979996,91.269997,295.350006,75.870003,40.889999,266.130005,65.470001,7063.450195
2018-04-02,71.599998,49.779999,166.679993,212.279999,69.25,108.639999,52.889999,1371.98999,65.089996,227.679993,220.059998,33.52,41.009998,91.330002,118.720001,155.389999,35.68,1006.469971,48.919998,60.060001,132.070007,88.519997,280.290009,75,39.119999,252.479996,63.099998,6870.120117
2018-04-03,70.529999,51.470001,168.389999,215.929993,70.120003,107.480003,53.98,1392.050049,65.480003,236.779999,220.020004,33.470001,41.380001,91.870003,119.510002,156.110001,35.59,1013.409973,49.75,60.240002,132.5,89.709999,283.670013,74.559998,40.009998,267.529999,63.169998,6941.279785
2018-04-04,69.519997,52.040001,171.610001,225.050003,70.410004,111.510002,55.560001,1410.569946,66.269997,236.990005,224.300003,34.310001,41.200001,92.690002,120.110001,155.100006,35.669998,1025.140015,49.990002,61.380001,135.809998,92.330002,288.940002,74.779999,41.419998,286.940002,65.510002,7042.109863
2018-04-05,69.379997,52.139999,172.800003,223.539993,72.290001,109.309998,54.290001,1451.75,66.529999,236.309998,225.570007,34.599998,41.82,92.709999,121.230003,159.339996,36,1027.810059,50.380001,61.310001,134.440002,92.379997,293.970001,76.949997,41.369999,305.720001,64.650002,7076.549805
2018-04-06,67.550003,50.290001,168.380005,218.610001,69.339996,109.239998,52.34,1405.22998,64.559998,228.869995,219.820007,34.119999,40.73,91.779999,118.360001,157.199997,35.34,1007.039978,48.790001,60.540001,130.929993,90.230003,288.850006,73.860001,40.150002,299.299988,63.470001,6915.109863
2018-04-09,68.440002,49.82,170.050003,219.169998,70.459999,110.629997,53.02,1406.079956,65.769997,234.740005,224.330002,33.950001,41.169998,92.260002,118.860001,157.929993,35.330002,1015.450012,49.549999,60.650002,130.720001,90.769997,289.929993,75.190002,39.799999,289.660004,62.849998,6950.339844
2018-04-10,70.779999,47.459999,173.25,224.529999,72.489998,113.459999,54.799999,1436.219971,66.519997,239.75,231.5,33.860001,42.509998,93.400002,120.709999,165.039993,35.799999,1031.640015,51.27,61.25,129.839996,92.879997,298.070007,76.790001,40.830002,304.700012,63.759998,7094.299805
2018-04-11,70.550003,45.400002,172.440002,223.630005,71.589996,110.790001,54.950001,1427.050049,65.849998,240.320007,229.649994,33.560001,42.43,93.629997,118.779999,166.320007,35.650002,1019.969971,51.099998,61.540001,132.029999,91.860001,303.670013,76.5,40.330002,300.929993,64.110001,7069.029785
2018-04-12,70.540001,46.57,174.139999,226.960007,71.919998,111.290001,56.43,1448.5,67.220001,239.429993,231.339996,33.130001,43.34,94.550003,121.089996,163.869995,36.07,1032.51001,52.720001,60.939999,133.009995,93.580002,309.25,77.459999,40.709999,294.079987,64.040001,7140.25
2018-04-13,69.290001,45.869999,174.729996,224.059998,71.43,111.379997,56.07,1430.790039,65.879997,246.940002,228.169998,33.02,43,94.900002,120.529999,164.520004,36.41,1029.27002,51.860001,60.919998,131.059998,93.080002,311.649994,77.269997,40.52,300.339996,63.82,7106.649902
2018-04-16,69.919998,46.400002,175.820007,226.520004,71.639999,109.480003,56.869999,1441.5,66.559998,249.369995,229.899994,33.529999,43.299999,95.970001,122.190002,164.830002,36.509998,1037.97998,52.400002,61.189999,133.470001,94.169998,307.779999,77.800003,41.139999,291.209991,66.220001,7156.279785
2018-04-17,71.089996,45.75,178.240005,231.160004,72.489998,113.279999,57.860001,1503.829956,68.279999,251.740005,235.669998,33.27,44.59,97.519997,124.309998,168.660004,37.09,1074.160034,53.540001,61.689999,136.809998,96.07,336.059998,80.029999,41.98,287.690002,65.970001,7281.100098
2018-04-18,72.32,47.759998,177.839996,231.100006,72.849998,112.959999,54.73,1527.839966,68.690002,249.589996,237.75,33.27,44.630001,98.220001,124.93,166.360001,36.82,1072.079956,53.610001,60.790001,138.309998,96.440002,334.519989,80.339996,42.099998,293.350006,66.260002,7295.240234
2018-04-19,72.019997,46.880001,172.800003,227.619995,72.459999,111.739998,51.189999,1556.910034,67.68,242.860001,237.110001,33.48,44.560001,97.220001,123.110001,168.100006,36.68,1087.699951,52.220001,59.73,137.619995,96.110001,332.700012,79.68,41.639999,300.079987,65.279999,7238.060059
2018-04-20,71.059998,46.779999,165.720001,225.240005,71.300003,107.779999,51.09,1527.48999,66.300003,237.119995,232.5,33.209999,44.09,96.57,120.889999,166.279999,36.18,1072.959961,51.529999,58.220001,137.479996,95,327.769989,78.730003,41.619999,290.23999,63.919998,7146.129883
2018-04-23,69.889999,46.68,165.240005,225.300003,71.669998,107.830002,50.18,1517.859985,66.230003,233.449997,231.419998,33.869999,44.25,97.029999,119.599998,165.839996,36.029999,1067.449951,51.099998,57.68,137.630005,95.349998,318.690002,78.209999,42.689999,283.369995,64.599998,7128.600098
2018-04-24,69.260002,45.689999,162.940002,217.889999,70.970001,106.510002,48.720001,1460.089966,65.339996,228.389999,231.410004,33.349998,43.740002,96.599998,118.589996,159.690002,35.52,1019.97998,51.450001,56.529999,136.899994,93.120003,307.019989,75.279999,41.91,283.459991,65,7007.350098
2018-04-25,68.269997,45.25,163.649994,217.320007,70.779999,106.040001,49.139999,1460.170044,64.82,229,231.410004,34.259998,43.709999,96.580002,116.68,159.690002,36.130001,1021.179993,51.380001,56.849998,137.240005,92.309998,305.76001,74,38.330002,280.690002,65.949997,7003.740234
2018-04-26,69.800003,42.369999,164.220001,221.910004,71.529999,121.419998,50.490002,1517.959961,66.339996,230.419998,238.690002,33.330002,44.209999,101.169998,119.599998,174.160004,35.84,1040.040039,53.049999,57.330002,137.759995,94.260002,313.980011,76.029999,37.389999,285.480011,66.739998,7118.680176
2018-04-27,69.730003,43.400002,162.320007,221.899994,71.099998,121.370003,49.400002,1572.619995,65.790001,232.779999,251.929993,31.809999,44.709999,103.269997,117.470001,173.589996,35.990002,1030.050049,52.73,57.66,137.419998,95.82,311.76001,74.129997,37.27,294.079987,67.110001,7119.799805
2018-04-30,70.080002,42.93,165.259995,221.600006,71.650002,117.629997,49.669998,1566.130005,66.349998,229.419998,250.899994,31.389999,44.290001,102.910004,117.980003,172,36.07,1017.330017,51.619999,56.380001,136.679993,93.519997,312.459991,74.610001,37.419998,293.899994,66.449997,7066.27002
2018-05-01,69.889999,43.360001,169.100006,224.080002,70.839996,118.620003,50.91,1582.26001,67.800003,230.380005,252.130005,32.060001,44.830002,104.709999,119.830002,173.860001,36.119999,1037.310059,53.330002,55.700001,137.600006,95,313.299988,74.809998,37.529999,299.920013,65.419998,7130.700195
